student_name,course_year,student_note,academic_score,anatomy_score,physiology_score,surgery_interest,cardiology_interest,neurology_interest,ent_interest,manual_dexterity,stress_tolerance,empathy,analytical_thinking,communication_skill,research_orientation,night_shift_readiness,cardiovascular_endurance,auditory_attention,precision_focus,predicted_specialty_key,predicted_specialty,confidence
Павел Громов #812,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,97,87,8,6,2,1,8,8,3,7,3,5,10,10,4,8,surgery,Хирург,0.6575
Ирина Белова #813,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,84,86,81,3,3,5,8,6,8,10,5,10,3,5,4,8,6,otolaryngology,Отоларинголог,0.5235
Ирина Белова #814,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,85,89,86,4,3,6,9,10,9,8,8,9,4,5,6,9,10,otolaryngology,Отоларинголог,0.51
Анна Котова #815,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,89,77,10,5,6,1,10,7,6,7,4,4,8,7,5,7,surgery,Хирург,0.5963
Кирилл Федоров #816,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,88,92,85,4,3,3,10,9,5,8,9,9,3,4,5,8,10,otolaryngology,Отоларинголог,0.5741
Георгий Савельев #817,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,85,100,82,7,6,3,0,10,10,7,6,6,1,10,8,6,10,surgery,Хирург,0.6418
Виктор Лебедев #818,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,93,79,95,1,6,8,1,6,9,7,8,6,8,5,7,5,9,neurology,Невролог,0.458
Софья Романова #819,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,87,82,94,4,8,7,5,7,6,9,10,10,6,5,10,4,6,cardiology,Кардиолог,0.4727
Георгий Савельев #820,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,97,84,8,3,5,4,10,9,5,8,3,2,9,7,4,7,surgery,Хирург,0.6177
Виктор Лебедев #821,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,81,89,5,7,9,0,3,7,8,8,8,8,5,3,7,10,neurology,Невролог,0.5402
Мария Тихонова #822,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,87,82,82,2,2,7,10,10,7,7,9,8,5,6,7,10,9,otolaryngology,Отоларинголог,0.5243
Алина Назарова #823,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,97,82,95,3,8,7,4,8,7,9,9,7,8,9,6,6,7,cardiology,Кардиолог,0.3473
Кирилл Федоров #824,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,86,94,83,6,6,5,9,10,5,5,5,8,4,8,5,9,8,otolaryngology,Отоларинголог,0.489
Никита Жуков #825,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,93,76,88,2,8,7,2,4,6,9,9,7,9,4,4,8,8,neurology,Невролог,0.4592
Михаил Соколов #826,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,89,89,87,9,7,3,3,7,8,7,6,7,6,7,8,4,10,surgery,Хирург,0.4478
Павел Громов #827,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,88,91,77,8,7,4,3,9,7,3,9,5,5,7,8,3,8,surgery,Хирург,0.5139
Кирилл Федоров #828,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,88,91,84,4,2,4,7,9,9,6,7,9,2,6,5,9,8,otolaryngology,Отоларинголог,0.488
Дмитрий Орлов #829,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,93,81,92,4,7,6,4,6,9,9,7,8,6,8,9,5,6,cardiology,Кардиолог,0.4099
Михаил Соколов #830,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,84,99,84,7,7,5,5,9,9,7,9,7,6,8,10,3,10,surgery,Хирург,0.4229
Ирина Белова #831,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,88,83,78,4,6,6,8,8,7,10,9,10,6,8,6,8,8,otolaryngology,Отоларинголог,0.3646
Павел Громов #832,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,87,94,87,10,7,5,2,9,7,5,6,7,3,8,10,2,8,surgery,Хирург,0.6107
Кирилл Федоров #833,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,81,82,79,5,4,4,9,6,5,6,6,10,4,6,4,9,6,otolaryngology,Отоларинголог,0.5231
Павел Громов #834,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,89,94,88,10,3,4,2,8,10,7,9,6,5,10,10,5,9,surgery,Хирург,0.5992
Кирилл Федоров #835,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,85,92,83,4,2,4,7,7,6,7,7,8,2,8,5,10,10,otolaryngology,Отоларинголог,0.5007
Татьяна Максимова #836,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,89,79,96,3,6,8,4,4,6,10,10,7,8,5,8,5,10,neurology,Невролог,0.4876
Софья Романова #837,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,94,78,99,5,9,9,1,7,7,8,10,8,8,7,8,5,10,neurology,Невролог,0.426
Елена Смирнова #838,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,95,76,97,1,8,8,4,8,6,6,9,5,7,4,7,4,8,neurology,Невролог,0.4047
Ирина Белова #839,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,85,90,86,6,3,3,10,8,6,7,9,7,7,5,6,9,6,otolaryngology,Отоларинголог,0.465
Ирина Белова #840,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,85,83,81,4,3,7,8,8,7,10,7,10,6,4,6,8,9,otolaryngology,Отоларинголог,0.4412
Ирина Белова #841,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,87,85,80,6,5,7,7,8,8,10,9,7,3,5,7,8,9,otolaryngology,Отоларинголог,0.3474
Ирина Белова #842,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,88,87,2,3,6,9,10,9,10,9,7,4,5,3,9,7,otolaryngology,Отоларинголог,0.5236
Ирина Белова #843,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,82,81,80,6,5,7,8,6,9,10,9,10,5,5,5,8,8,otolaryngology,Отоларинголог,0.3518
Георгий Савельев #844,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,85,88,80,7,3,5,0,7,8,5,4,6,1,8,8,3,10,surgery,Хирург,0.6169
Георгий Савельев #845,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,82,89,80,10,5,4,4,7,7,7,5,3,5,8,10,2,8,surgery,Хирург,0.6021
Никита Жуков #846,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,89,84,88,0,5,10,1,6,8,8,8,5,10,7,3,4,8,neurology,Невролог,0.6202
Кирилл Федоров #847,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,81,83,86,3,5,4,10,7,8,6,6,9,3,4,6,9,7,otolaryngology,Отоларинголог,0.5492
Павел Громов #848,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,85,93,87,9,7,2,1,7,9,3,5,5,2,8,9,6,9,surgery,Хирург,0.6414
Елена Смирнова #849,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,96,76,88,5,5,7,3,7,5,6,8,9,7,5,5,8,10,neurology,Невролог,0.3871
Дмитрий Орлов #850,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,92,81,99,5,8,6,4,7,9,8,10,7,5,7,6,4,6,cardiology,Кардиолог,0.4156
Дмитрий Орлов #851,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,85,91,7,10,6,0,6,10,10,8,8,5,8,9,7,6,cardiology,Кардиолог,0.4947
Татьяна Максимова #852,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,95,86,88,4,8,10,1,4,7,9,10,8,10,4,5,7,10,neurology,Невролог,0.5792
Софья Романова #853,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,85,97,4,10,9,3,6,8,10,7,7,7,8,6,4,8,cardiology,Кардиолог,0.3837
Анна Котова #854,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,86,100,87,8,3,2,2,10,7,8,6,4,6,7,8,3,10,surgery,Хирург,0.5806
Павел Громов #855,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,88,93,78,8,7,2,0,7,10,6,5,4,6,8,9,5,8,surgery,Хирург,0.5659
Софья Романова #856,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,86,80,100,6,9,8,3,5,9,8,10,9,5,5,10,6,7,cardiology,Кардиолог,0.4868
Никита Жуков #857,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,91,80,86,1,4,10,1,5,6,6,8,8,8,6,5,7,9,neurology,Невролог,0.5718
Алина Назарова #858,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,97,78,85,5,7,5,0,6,9,9,10,10,8,7,10,3,6,cardiology,Кардиолог,0.5009
Виктор Лебедев #859,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,87,76,84,1,5,9,1,7,9,6,8,6,8,2,5,5,9,neurology,Невролог,0.5307
Алина Назарова #860,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,93,85,100,5,10,9,4,7,7,6,9,10,7,8,6,6,10,neurology,Невролог,0.3641
Дмитрий Орлов #861,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,91,85,87,3,9,7,4,7,7,7,7,10,8,6,7,7,10,cardiology,Кардиолог,0.3318
Дмитрий Орлов #862,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,84,92,4,7,5,3,5,10,9,7,7,5,5,9,3,7,cardiology,Кардиолог,0.4473
Ирина Белова #863,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,90,84,6,5,4,10,10,8,6,9,9,7,6,7,9,6,otolaryngology,Отоларинголог,0.4324
Елена Смирнова #864,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,91,81,93,5,8,7,5,7,9,8,9,5,10,4,4,4,9,neurology,Невролог,0.4361
Мария Тихонова #865,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,82,82,80,5,2,5,10,9,4,7,6,8,5,7,5,10,10,otolaryngology,Отоларинголог,0.5948
Ольга Демина #866,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,86,88,82,2,3,2,7,7,5,7,6,8,6,6,2,9,9,otolaryngology,Отоларинголог,0.536
Мария Тихонова #867,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,88,87,77,3,5,5,10,8,8,10,6,8,2,7,6,9,10,otolaryngology,Отоларинголог,0.574
Кирилл Федоров #868,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,81,86,84,7,4,4,8,8,5,6,9,10,2,7,5,10,8,otolaryngology,Отоларинголог,0.4723
Павел Громов #869,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,83,94,86,8,5,6,3,10,7,4,9,3,5,10,8,5,10,surgery,Хирург,0.5825
Анна Котова #870,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,86,93,76,7,3,6,2,9,8,5,6,7,3,8,7,6,10,surgery,Хирург,0.5396
Анна Котова #871,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,97,83,10,6,4,1,9,7,6,7,7,4,8,6,7,7,surgery,Хирург,0.5354
Ольга Демина #872,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,83,78,84,6,4,5,7,9,7,7,8,7,4,7,6,10,10,otolaryngology,Отоларинголог,0.4173
Мария Тихонова #873,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,81,83,75,4,4,6,8,10,5,9,9,10,5,6,5,10,9,otolaryngology,Отоларинголог,0.5064
Павел Громов #874,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,87,94,83,8,5,2,2,7,10,5,7,3,2,9,10,3,10,surgery,Хирург,0.6641
Ирина Белова #875,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,82,86,77,2,5,3,10,6,6,10,9,8,6,5,6,10,7,otolaryngology,Отоларинголог,0.5079
Павел Громов #876,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,88,91,86,8,6,5,0,7,9,7,9,5,3,10,10,6,10,surgery,Хирург,0.5151
Никита Жуков #877,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,95,82,92,3,7,10,1,5,8,7,10,5,9,5,6,6,7,neurology,Невролог,0.5376
Алина Назарова #878,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,93,87,94,3,10,9,4,4,9,7,7,9,8,8,9,4,7,cardiology,Кардиолог,0.4548
Дмитрий Орлов #879,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,93,87,99,5,10,4,0,8,7,7,10,9,6,7,7,6,9,cardiology,Кардиолог,0.4563
Елена Смирнова #880,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,91,80,88,1,4,7,3,4,5,8,9,7,7,7,7,4,10,neurology,Невролог,0.4873
Мария Тихонова #881,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,88,81,77,1,3,7,7,7,7,7,7,7,3,6,5,8,9,otolaryngology,Отоларинголог,0.4224
Анна Котова #882,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,93,93,78,9,5,3,4,8,9,7,9,4,6,8,8,4,9,surgery,Хирург,0.5137
Дмитрий Орлов #883,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,96,83,88,5,7,4,0,8,8,8,8,8,8,7,7,4,6,cardiology,Кардиолог,0.4042
Кирилл Федоров #884,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,85,94,85,7,5,7,8,7,8,8,6,10,4,5,7,10,6,otolaryngology,Отоларинголог,0.4316
Татьяна Максимова #885,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,94,81,94,2,8,6,0,8,9,8,9,8,8,5,5,6,10,neurology,Невролог,0.3863
Алина Назарова #886,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,94,78,92,2,8,5,4,4,9,9,9,9,8,9,6,6,8,cardiology,Кардиолог,0.4258
Кирилл Федоров #887,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,85,86,83,3,6,4,9,7,5,8,9,7,3,7,8,8,6,otolaryngology,Отоларинголог,0.3974
Павел Громов #888,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,91,94,87,9,7,5,4,10,8,6,9,7,6,10,10,2,10,surgery,Хирург,0.5483
Дмитрий Орлов #889,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,95,88,98,5,8,5,0,5,10,10,8,8,6,7,7,4,10,cardiology,Кардиолог,0.4152
Ирина Белова #890,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,84,82,86,6,5,3,8,6,9,7,6,7,7,4,7,8,7,otolaryngology,Отоларинголог,0.3714
Татьяна Максимова #891,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,87,78,90,3,6,10,0,8,9,10,8,10,10,4,5,7,7,neurology,Невролог,0.5164
Павел Громов #892,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,87,89,82,9,3,4,0,10,8,5,7,4,2,8,10,2,10,surgery,Хирург,0.7144
Софья Романова #893,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,92,85,86,2,10,5,2,4,9,10,7,9,7,7,8,7,9,cardiology,Кардиолог,0.4918
Кирилл Федоров #894,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,87,88,87,6,5,5,10,6,5,8,7,9,2,4,5,10,6,otolaryngology,Отоларинголог,0.5563
Никита Жуков #895,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,94,73,94,4,4,10,5,4,8,8,9,6,8,7,4,7,10,neurology,Невролог,0.5719
Георгий Савельев #896,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,91,84,10,6,6,4,8,9,6,8,6,5,10,9,2,9,surgery,Хирург,0.5651
Татьяна Максимова #897,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,94,82,87,6,7,7,0,4,7,10,8,10,9,8,9,4,7,cardiology,Кардиолог,0.4186
Георгий Савельев #898,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,84,89,88,10,4,4,4,8,7,6,7,6,3,7,8,5,9,surgery,Хирург,0.5327
Павел Громов #899,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,87,87,86,10,6,3,3,7,9,4,6,7,5,9,10,6,8,surgery,Хирург,0.5843
Михаил Соколов #900,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,85,95,84,7,6,5,1,7,7,7,6,4,6,7,8,4,10,surgery,Хирург,0.4447
Виктор Лебедев #901,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,89,83,89,4,5,9,3,4,6,7,8,7,9,6,4,8,7,neurology,Невролог,0.5095
Дмитрий Орлов #902,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,96,88,85,4,7,6,3,6,6,7,7,9,8,9,8,3,9,cardiology,Кардиолог,0.324
Дмитрий Орлов #903,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,93,78,90,4,8,4,0,7,7,9,7,7,7,6,9,3,10,cardiology,Кардиолог,0.417
Мария Тихонова #904,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,86,88,79,1,2,6,10,9,8,10,7,8,4,5,4,9,10,otolaryngology,Отоларинголог,0.6168
Софья Романова #905,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,80,94,2,9,5,5,8,7,10,8,7,9,5,7,3,6,cardiology,Кардиолог,0.4665
Софья Романова #906,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,89,86,92,2,10,7,2,6,9,9,7,10,7,6,9,7,6,cardiology,Кардиолог,0.5202
Ольга Демина #907,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,86,81,81,6,2,4,10,8,8,8,8,7,3,5,3,8,8,otolaryngology,Отоларинголог,0.5277
Софья Романова #908,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,93,83,85,2,7,7,4,8,8,9,9,9,8,6,7,7,7,cardiology,Кардиолог,0.3472
Дмитрий Орлов #909,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,95,88,100,5,8,8,0,6,6,6,9,10,9,8,6,7,10,neurology,Невролог,0.4306
Виктор Лебедев #910,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,86,82,95,2,4,8,3,7,7,7,9,6,10,3,3,4,9,neurology,Невролог,0.5817
Татьяна Максимова #911,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,87,78,93,2,10,8,0,6,7,8,10,7,8,7,9,5,6,cardiology,Кардиолог,0.5036
Дмитрий Орлов #912,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,91,80,93,7,8,4,2,9,8,6,8,7,5,5,9,5,10,surgery,Хирург,0.3459
Ольга Демина #913,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,79,82,77,3,1,3,8,10,8,10,6,9,2,7,4,10,6,otolaryngology,Отоларинголог,0.626
Алина Назарова #914,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,97,80,84,3,7,9,2,5,6,8,10,10,6,5,9,6,10,neurology,Невролог,0.434
Кирилл Федоров #915,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,82,90,83,6,5,5,9,6,8,9,7,7,3,5,8,8,8,otolaryngology,Отоларинголог,0.4161
Никита Жуков #916,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,94,79,98,1,6,8,1,4,6,7,8,5,10,4,6,6,9,neurology,Невролог,0.5458
Дмитрий Орлов #917,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,96,82,97,7,7,5,4,6,7,7,9,7,5,5,6,3,10,cardiology,Кардиолог,0.3195
Ирина Белова #918,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,89,82,6,4,4,9,9,5,6,8,9,6,5,4,10,6,otolaryngology,Отоларинголог,0.5177
Софья Романова #919,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,91,85,98,2,8,9,5,7,8,8,9,9,6,6,9,4,6,cardiology,Кардиолог,0.4235
Павел Громов #920,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,84,90,84,8,3,6,1,10,8,3,5,5,3,7,10,2,9,surgery,Хирург,0.6834
Виктор Лебедев #921,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,87,77,92,1,7,9,3,3,7,10,10,7,9,2,7,7,7,neurology,Невролог,0.5031
Ольга Демина #922,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,86,89,79,3,1,5,10,10,4,7,6,8,5,7,6,10,6,otolaryngology,Отоларинголог,0.6082
Кирилл Федоров #923,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,83,94,85,5,4,5,8,10,9,6,6,9,3,4,4,10,10,otolaryngology,Отоларинголог,0.5525
Елена Смирнова #924,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,92,84,90,1,6,8,3,6,8,8,10,6,7,3,4,7,8,neurology,Невролог,0.4788
Ольга Демина #925,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,81,78,82,3,1,4,8,10,5,8,7,8,4,4,2,8,8,otolaryngology,Отоларинголог,0.5778
Дмитрий Орлов #926,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,93,78,91,5,7,5,0,5,8,10,7,8,8,8,8,6,10,cardiology,Кардиолог,0.3691
Виктор Лебедев #927,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,88,81,85,4,3,8,2,6,9,6,8,8,9,3,3,4,10,neurology,Невролог,0.5478
Никита Жуков #928,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,89,82,87,1,4,7,4,3,9,5,8,8,10,5,6,7,10,neurology,Невролог,0.4908
Кирилл Федоров #929,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,82,91,85,6,4,5,9,7,9,7,7,8,2,7,7,10,7,otolaryngology,Отоларинголог,0.469
Алина Назарова #930,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,94,75,90,6,9,6,3,5,7,7,8,10,9,5,6,5,7,cardiology,Кардиолог,0.4295
Кирилл Федоров #931,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,89,93,82,5,3,3,8,6,5,9,8,9,6,4,8,10,7,otolaryngology,Отоларинголог,0.4619
Виктор Лебедев #932,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,75,87,5,5,9,1,5,8,7,8,4,8,6,4,5,8,neurology,Невролог,0.5215
Дмитрий Орлов #933,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,93,88,94,6,9,4,2,7,8,9,9,8,7,8,8,6,9,cardiology,Кардиолог,0.4134
Ирина Белова #934,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,87,90,83,4,5,6,9,10,8,6,8,7,5,5,3,9,8,otolaryngology,Отоларинголог,0.4888
Ольга Демина #935,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,84,87,76,6,1,4,8,6,8,8,6,8,6,6,5,8,9,otolaryngology,Отоларинголог,0.4457
Мария Тихонова #936,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,82,82,79,5,2,5,10,8,4,9,5,9,6,7,4,8,7,otolaryngology,Отоларинголог,0.5603
Кирилл Федоров #937,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,84,93,89,3,5,7,9,6,8,6,5,8,2,8,4,8,10,otolaryngology,Отоларинголог,0.4876
Дмитрий Орлов #938,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,96,85,87,7,7,6,1,6,8,8,8,10,9,8,8,5,9,cardiology,Кардиолог,0.3368
Виктор Лебедев #939,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,86,83,92,4,5,8,1,6,8,9,8,8,10,5,5,7,7,neurology,Невролог,0.4812
Михаил Соколов #940,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,84,99,89,8,5,5,5,8,7,5,7,8,2,9,7,3,10,surgery,Хирург,0.5192
Елена Смирнова #941,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,97,84,91,1,7,7,5,6,6,10,8,6,8,7,4,7,8,neurology,Невролог,0.4001
Никита Жуков #942,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,92,84,88,4,7,8,1,7,6,9,8,6,8,4,5,8,8,neurology,Невролог,0.4297
Елена Смирнова #943,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,93,85,97,2,8,10,5,5,5,8,8,8,10,5,5,5,9,neurology,Невролог,0.5324
Анна Котова #944,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,91,90,75,7,6,2,5,7,10,8,8,4,7,7,7,6,7,surgery,Хирург,0.3678
Елена Смирнова #945,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,91,79,98,5,5,9,5,5,5,9,9,7,10,5,7,7,8,neurology,Невролог,0.5105
Елена Смирнова #946,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,93,85,90,2,5,8,1,4,9,8,9,6,9,7,8,5,7,neurology,Невролог,0.4676
Никита Жуков #947,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,92,76,91,0,7,8,4,4,5,5,9,5,7,6,6,6,9,neurology,Невролог,0.4695
Ирина Белова #948,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,83,91,84,4,3,3,10,9,8,7,8,9,7,6,6,10,10,otolaryngology,Отоларинголог,0.5532
Дмитрий Орлов #949,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,92,90,94,3,9,6,2,9,6,7,9,10,5,8,8,3,6,cardiology,Кардиолог,0.4558
Анна Котова #950,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,91,98,78,10,5,5,5,8,7,5,5,7,3,7,6,5,8,surgery,Хирург,0.5439
Алина Назарова #951,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,77,85,2,10,7,0,5,10,7,8,10,9,8,10,7,9,cardiology,Кардиолог,0.4857
Дмитрий Орлов #952,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,94,85,97,4,10,8,1,6,9,9,8,9,7,9,10,7,10,cardiology,Кардиолог,0.4298
Татьяна Максимова #953,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,91,79,88,6,6,7,2,6,7,7,8,10,8,5,6,3,7,neurology,Невролог,0.3843
Софья Романова #954,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,91,83,93,5,10,7,5,7,8,10,10,9,5,6,9,7,9,cardiology,Кардиолог,0.4367
Мария Тихонова #955,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,84,88,81,5,5,5,10,8,5,10,7,9,2,5,5,8,6,otolaryngology,Отоларинголог,0.54
Ольга Демина #956,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,86,81,72,6,4,4,10,7,8,8,7,9,2,3,6,8,7,otolaryngology,Отоларинголог,0.5189
Анна Котова #957,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,92,100,75,9,5,4,1,9,9,5,8,7,4,10,8,4,7,surgery,Хирург,0.6337
Софья Романова #958,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,92,86,95,3,9,8,3,6,7,9,10,8,8,9,6,6,9,neurology,Невролог,0.4056
Михаил Соколов #959,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,88,90,88,8,7,4,1,10,8,4,6,5,2,9,9,6,10,surgery,Хирург,0.6383
